NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,VOTING AUTHORITY SOLE,VOTING AUTHORITY SHARED,VOTING AUTHORITY NONE,Filing Date
LITHIA MOTORS INC - CL A,COMMON STOCK,536797103,373,3960,SH,,SOLE,,3960,0,0,0001291422-14-000003
LOCKHEED MARTIN CORPORATION -,COMMON STOCK,539830109,4463,27768,SH,,SOLE,,26650,0,1118,0001291422-14-000003
LOCKHEED MARTIN CORPORATION -,COMMON STOCK,539830109,27,168,SH,,DFND,,168,0,0,0001291422-14-000003
LOWES COS INC COM,COMMON STOCK,548661107,9080,189203,SH,,SOLE,,183608,0,5595,0001291422-14-000003
LOWES COS INC COM,COMMON STOCK,548661107,267,5569,SH,,OTR,,5569,0,0,0001291422-14-000003
LUCAS CNTY OH ECON DEV REVENUE,MUNICIPAL OBLIG,549306BY3,411,400000,PRN,,SOLE,,400000,0,0,0001291422-14-000003
LYONDELLBASELL INDUSTRIES NV,COMMON STOCK,N53745100,10084,103270,SH,,SOLE,,100825,0,2445,0001291422-14-000003
LYONDELLBASELL INDUSTRIES NV,COMMON STOCK,N53745100,109,1115,SH,,OTR,,1115,0,0,0001291422-14-000003
M & I MARSHALL & ILSLEY,CORPORATE BONDS,55259PAE6,1040,1000000,PRN,,SOLE,,1000000,0,0,0001291422-14-000003
MARSH & MCLENNAN COS INC,COMMON STOCK,571748102,207,4000,SH,,SOLE,,4000,0,0,0001291422-14-000003
MATTEL INC COM,COMMON STOCK,577081102,4518,115944,SH,,SOLE,,111344,0,4600,0001291422-14-000003
MATTEL INC COM,COMMON STOCK,577081102,26,665,SH,,DFND,,665,0,0,0001291422-14-000003
"MAXIM INTEGRATED PRODUCTS, INC.",COMMON STOCK,57772K101,2901,85793,SH,,SOLE,,80852,0,4941,0001291422-14-000003
"MAXIM INTEGRATED PRODUCTS, INC.",COMMON STOCK,57772K101,24,723,SH,,DFND,,723,0,0,0001291422-14-000003
MCDONALDS CORP,COMMON STOCK,580135101,3231,32075,SH,,SOLE,,30546,0,1529,0001291422-14-000003
MCDONALDS CORP,COMMON STOCK,580135101,23,224,SH,,DFND,,224,0,0,0001291422-14-000003
MCDONALDS CORP,COMMON STOCK,580135101,40,400,SH,,OTR,,400,0,0,0001291422-14-000003
MERCK & CO INC NEW,COMMON STOCK,58933Y105,18370,317545,SH,,SOLE,,306955,0,10590,0001291422-14-000003
MERCK & CO INC NEW,COMMON STOCK,58933Y105,26,450,SH,,DFND,,450,0,0,0001291422-14-000003
MERCK & CO INC NEW,COMMON STOCK,58933Y105,195,3371,SH,,OTR,,3371,0,0,0001291422-14-000003
MEREDITH CORP,COMMON STOCK,589433101,2449,50649,SH,,SOLE,,47994,0,2655,0001291422-14-000003
MEREDITH CORP,COMMON STOCK,589433101,21,440,SH,,DFND,,440,0,0,0001291422-14-000003
METROPOLITAN WEST,MUTUAL FUNDS -,592905848,1706,163074,SH,,SOLE,,163074,0,0,0001291422-14-000003
MFS EMERGING MARKETS,MUTUAL FUNDS -,55273E640,684,44606,SH,,SOLE,,37714,0,6892,0001291422-14-000003
MICROCHIP TECHNOLOGY INC COM,COMMON STOCK,595017104,2919,59806,SH,,SOLE,,56381,0,3425,0001291422-14-000003
MICROCHIP TECHNOLOGY INC COM,COMMON STOCK,595017104,25,515,SH,,DFND,,515,0,0,0001291422-14-000003
MICROSOFT CORP COM,COMMON STOCK,594918104,1116,26757,SH,,SOLE,,26757,0,0,0001291422-14-000003
MICROSOFT CORP COM,COMMON STOCK,594918104,25,600,SH,,OTR,,600,0,0,0001291422-14-000003
MORAINE VALLEY #524,MUNICIPAL OBLIG,216129EY8,677,665000,PRN,,SOLE,,665000,0,0,0001291422-14-000003
MORGAN STANLEY,CORPORATE BONDS,61747YCL7,306,300000,PRN,,SOLE,,300000,0,0,0001291422-14-000003
NATL CITY BANK,CORPORATE BONDS,63534PAG2,530,470000,PRN,,SOLE,,470000,0,0,0001291422-14-000003
NEW YORK CITY NY,MUNICIPAL OBLIG,64971QQY2,513,500000,PRN,,SOLE,,500000,0,0,0001291422-14-000003
NIMBLE STORAGE INC,COMMON STOCK,65440R101,281,9315,SH,,SOLE,,9315,0,0,0001291422-14-000003
NOVARTIS AG,COMMON STOCK,66987V109,4146,45794,SH,,SOLE,,44329,0,1465,0001291422-14-000003
NOVARTIS AG,COMMON STOCK,66987V109,26,285,SH,,DFND,,285,0,0,0001291422-14-000003
NUCOR CORP COM,COMMON STOCK,670346105,1015,20600,SH,,SOLE,,20600,0,0,0001291422-14-000003
OPPENHEIMER,MUTUAL FUNDS -,68380L407,26507,678442,SH,,SOLE,,652467,0,25975,0001291422-14-000003
OPPENHEIMER,MUTUAL FUNDS -,68380L407,346,8867,SH,,OTR,,8867,0,0,0001291422-14-000003
OPPENHEIMER DEVELOPING MARKETS,MUTUAL FUNDS -,683974109,417,10349,SH,,SOLE,,10349,0,0,0001291422-14-000003
OPPENHEIMER DEVELOPING MARKETS,MUTUAL FUNDS -,683974505,12370,310642,SH,,SOLE,,302730,0,7912,0001291422-14-000003
OPPENHEIMER DEVELOPING MARKETS,MUTUAL FUNDS -,683974505,96,2409,SH,,OTR,,2409,0,0,0001291422-14-000003
OPPENHEIMER INTERNATIONAL,MUTUAL FUNDS -,68380T509,1019,164648,SH,,SOLE,,139895,0,24753,0001291422-14-000003
ORACLE CORP COM,COMMON STOCK,68389X105,1621,40000,SH,,SOLE,,40000,0,0,0001291422-14-000003
PEPSICO INC COM,COMMON STOCK,713448108,31477,352332,SH,,SOLE,,349227,0,3105,0001291422-14-000003
PEPSICO INC COM,COMMON STOCK,713448108,191,2140,SH,,OTR,,2140,0,0,0001291422-14-000003
PEPSICO INC COM,CORPORATE BONDS,713448CE6,376,375000,PRN,,SOLE,,375000,0,0,0001291422-14-000003
PFIZER INC COM,COMMON STOCK,717081103,3266,110047,SH,,SOLE,,105300,0,4747,0001291422-14-000003
PFIZER INC COM,COMMON STOCK,717081103,20,685,SH,,DFND,,685,0,0,0001291422-14-000003
PFIZER INC COM,CORPORATE BONDS,717081DA8,259,250000,PRN,,SOLE,,250000,0,0,0001291422-14-000003
"PHARMACYCLICS, INC",COMMON STOCK,716933106,221,2465,SH,,SOLE,,2465,0,0,0001291422-14-000003
PNC FINANCIAL SERVICES GROUP,COMMON STOCK,693475105,9313,104584,SH,,SOLE,,100779,0,3805,0001291422-14-000003
PNC FINANCIAL SERVICES GROUP,COMMON STOCK,693475105,145,1631,SH,,OTR,,1631,0,0,0001291422-14-000003
PNC FUNDING CORP,CORPORATE BONDS,693476BF9,302,250000,PRN,,SOLE,,250000,0,0,0001291422-14-000003
PNC FUNDING CORP,CORPORATE BONDS,693476BG7,209,200000,PRN,,SOLE,,200000,0,0,0001291422-14-000003
POLARIS INDUSTRIES INC,COMMON STOCK,731068102,8126,62389,SH,,SOLE,,60924,0,1465,0001291422-14-000003
POLARIS INDUSTRIES INC,COMMON STOCK,731068102,130,995,SH,,OTR,,995,0,0,0001291422-14-000003
PRECISION CASTPARTS CORP,COMMON STOCK,740189105,14635,57983,SH,,SOLE,,56468,0,1515,0001291422-14-000003
PRECISION CASTPARTS CORP,COMMON STOCK,740189105,230,913,SH,,OTR,,913,0,0,0001291422-14-000003
PRIMECAP,MUTUAL FUNDS -,74160Q202,17920,554964,SH,,SOLE,,550010,0,4954,0001291422-14-000003
PRIMECAP,MUTUAL FUNDS -,74160Q202,200,6195,SH,,OTR,,6195,0,0,0001291422-14-000003
PROCTER & GAMBLE,COMMON STOCK,742718109,14912,189742,SH,,SOLE,,184827,0,4915,0001291422-14-000003
PROCTER & GAMBLE,COMMON STOCK,742718109,19,245,SH,,DFND,,245,0,0,0001291422-14-000003
PROCTER & GAMBLE,COMMON STOCK,742718109,205,2607,SH,,OTR,,2607,0,0,0001291422-14-000003
"PULTE HOMES, INC",COMMON STOCK,745867101,310,15395,SH,,SOLE,,15395,0,0,0001291422-14-000003
PUTNAM TAX-FREE INCOME TRUST,MUTUAL FUNDS -,746872878,1329,107954,SH,,SOLE,,81727,0,26227,0001291422-14-000003
Q LOTUS HOLDINGS INC,COMMON STOCK,74733U102,2,240000,SH,,SOLE,,240000,0,0,0001291422-14-000003
QUALCOMM INC COM,COMMON STOCK,747525103,8714,110030,SH,,SOLE,,106625,0,3405,0001291422-14-000003
QUALCOMM INC COM,COMMON STOCK,747525103,335,4235,SH,,OTR,,4235,0,0,0001291422-14-000003
RIDGEWORTH,MUTUAL FUNDS -,76628R599,1141,76999,SH,,SOLE,,76999,0,0,0001291422-14-000003
RIDGEWORTH,MUTUAL FUNDS -,76628R664,6289,353300,SH,,SOLE,,353300,0,0,0001291422-14-000003
RIDGEWORTH,MUTUAL FUNDS -,76628R672,42929,2392908,SH,,SOLE,,2373336,0,19572,0001291422-14-000003
RIDGEWORTH,MUTUAL FUNDS -,76628R672,634,35331,SH,,OTR,,35331,0,0,0001291422-14-000003
RIO RANCHO NEW MEXICO,MUNICIPAL OBLIG,767169DQ5,348,350000,PRN,,SOLE,,350000,0,0,0001291422-14-000003
ROSEMONT IL,MUNICIPAL OBLIG,777543TF6,255,250000,PRN,,SOLE,,250000,0,0,0001291422-14-000003
ROYAL DUTCH SHELL PLC-ADR,COMMON STOCK,780259206,2503,30386,SH,,SOLE,,28436,0,1950,0001291422-14-000003
ROYAL DUTCH SHELL PLC-ADR,COMMON STOCK,780259206,19,225,SH,,DFND,,225,0,0,0001291422-14-000003
"RPM INTERNATIONAL, INC",COMMON STOCK,749685103,208,4500,SH,,SOLE,,4500,0,0,0001291422-14-000003
SBC COMMUNICATIONS INC,CORPORATE BONDS,78387GAL7,355,325000,PRN,,SOLE,,325000,0,0,0001291422-14-000003
SCHLUMBERGER LTD COM,COMMON STOCK,806857108,245,2073,SH,,SOLE,,2073,0,0,0001291422-14-000003
SEAGATE TECHNOLOGY,COMMON STOCK,G7945M107,3349,58944,SH,,SOLE,,55429,0,3515,0001291422-14-000003
SEAGATE TECHNOLOGY,COMMON STOCK,G7945M107,29,515,SH,,DFND,,515,0,0,0001291422-14-000003
SENTINEL COMMON CLASS A,MUTUAL FUNDS -,817270309,9438,210755,SH,,SOLE,,210755,0,0,0001291422-14-000003
SENTINEL COMMON CLASS A,MUTUAL FUNDS -,817270309,285,6374,SH,,DFND,,6374,0,0,0001291422-14-000003
SENTINEL COMMON CLASS I,MUTUAL FUNDS -,81728B700,2591,57902,SH,,SOLE,,57902,0,0,0001291422-14-000003
SILICA HOLDINGS INC,COMMON STOCK,90346E103,665,11995,SH,,SOLE,,11995,0,0,0001291422-14-000003
SPDRR S&P DIVIDEND ETF,COMMON STOCK,78464A763,265,3464,SH,,SOLE,,0,0,3464,0001291422-14-000003
STARBUCKS CORPORATION,COMMON STOCK,855244109,486,6277,SH,,SOLE,,6277,0,0,0001291422-14-000003
SUN PRAIRIE WI,MUNICIPAL OBLIG,866854MS8,280,275000,PRN,,SOLE,,275000,0,0,0001291422-14-000003
SUN PRAIRIE WI,MUNICIPAL OBLIG,866854NY4,245,245000,PRN,,SOLE,,245000,0,0,0001291422-14-000003
TCW SELECT EQUITIES,MUTUAL FUNDS -,87234N732,6211,254555,SH,,SOLE,,254555,0,0,0001291422-14-000003
THE RUSH CREEK LAND & LIVE STOCK,CLOSELY HELD ST,SU0002232,213,355,SH,,SOLE,,355,0,0,0001291422-14-000003
THOMSON REUTERS CORPORATION,COMMON STOCK,884903105,2301,63282,SH,,SOLE,,59637,0,3645,0001291422-14-000003
THOMSON REUTERS CORPORATION,COMMON STOCK,884903105,20,550,SH,,DFND,,550,0,0,0001291422-14-000003
TIMKEN CO,COMMON STOCK,887389104,274,4045,SH,,SOLE,,4045,0,0,0001291422-14-000003
TOYOTA MOTOR CORP. - SPON ADR,COMMON STOCK,892331307,253,2115,SH,,SOLE,,2115,0,0,0001291422-14-000003
TUCSON AZ,MUNICIPAL OBLIG,898711P83,450,450000,PRN,,SOLE,,450000,0,0,0001291422-14-000003
UBIQUITI NETWORKS INC,COMMON STOCK,90347A100,267,5905,SH,,SOLE,,5905,0,0,0001291422-14-000003
UNION CNTY NJ UTILITIES AUTH,MUNICIPAL OBLIG,906365EG2,256,250000,PRN,,SOLE,,250000,0,0,0001291422-14-000003
UNION PAC CORP COM,COMMON STOCK,907818108,9193,92159,SH,,SOLE,,89309,0,2850,0001291422-14-000003
UNION PAC CORP COM,COMMON STOCK,907818108,132,1323,SH,,OTR,,1323,0,0,0001291422-14-000003
UNITED RENTALS,COMMON STOCK,911363109,14336,136885,SH,,SOLE,,133270,0,3615,0001291422-14-000003
UNITED RENTALS,COMMON STOCK,911363109,196,1875,SH,,OTR,,1875,0,0,0001291422-14-000003
UNITREND INC,COMMON STOCK,913273991,0,11000,SH,,SOLE,,11000,0,0,0001291422-14-000003
US BANCORP INC,CORPORATE BONDS,91159HHB9,768,745000,PRN,,SOLE,,500000,0,245000,0001291422-14-000003
US BANK N.A. NOTES,CORPORATE BONDS,90331HKP7,330,325000,PRN,,SOLE,,325000,0,0,0001291422-14-000003
UTAH ST BRD OF RGTS,MUNICIPAL OBLIG,91754RPZ4,278,250000,PRN,,SOLE,,250000,0,0,0001291422-14-000003
VANGUARD,MUTUAL FUNDS -,921937702,165,15635,SH,,SOLE,,15005,0,630,0001291422-14-000003
VANGUARD,MUTUAL FUNDS -,921946109,18352,604072,SH,,SOLE,,596207,0,7865,0001291422-14-000003
VANGUARD,MUTUAL FUNDS -,921946109,202,6660,SH,,OTR,,6660,0,0,0001291422-14-000003
VANGUARD,COMMON STOCK,922042775,434,8294,SH,,SOLE,,8294,0,0,0001291422-14-000003
VANGUARD,COMMON STOCK,922042858,430,9968,SH,,SOLE,,9968,0,0,0001291422-14-000003
VANGUARD,COMMON STOCK,922908363,395,2201,SH,,SOLE,,2201,0,0,0001291422-14-000003
VANGUARD,MUTUAL FUNDS -,922908645,472,3209,SH,,SOLE,,3189,0,20,0001291422-14-000003
VANGUARD,MUTUAL FUNDS -,922908686,692,12333,SH,,SOLE,,12281,0,52,0001291422-14-000003
VANGUARD,MUTUAL FUNDS -,922908710,2651,14664,SH,,SOLE,,14534,0,130,0001291422-14-000003
VANGUARD,MUTUAL FUNDS -,922908710,60,332,SH,,OTR,,332,0,0,0001291422-14-000003
VERIZON COMMUNICATIONS,COMMON STOCK,92343V104,1664,34010,SH,,SOLE,,32136,0,1874,0001291422-14-000003
VERIZON COMMUNICATIONS,COMMON STOCK,92343V104,69,1410,SH,,OTR,,1410,0,0,0001291422-14-000003
VERIZON COMMUNICATIONS,CORPORATE BONDS,92343VBB9,251,250000,PRN,,SOLE,,250000,0,0,0001291422-14-000003
VMWARE INC - CLASS A,COMMON STOCK,928563402,9885,102110,SH,,SOLE,,98275,0,3835,0001291422-14-000003
VMWARE INC - CLASS A,COMMON STOCK,928563402,141,1455,SH,,OTR,,1455,0,0,0001291422-14-000003
VOYA REAL ESTATE,MUTUAL FUNDS -,92913K595,1927,95088,SH,,SOLE,,88791,0,6297,0001291422-14-000003
WALGREEN CO COM,COMMON STOCK,931422109,61,822,SH,,SOLE,,822,0,0,0001291422-14-000003
WALGREEN CO COM,COMMON STOCK,931422109,221,2985,SH,,OTR,,2985,0,0,0001291422-14-000003
WATSCO INC,COMMON STOCK,942622200,323,3145,SH,,SOLE,,3145,0,0,0001291422-14-000003
WELLS FARGO & COMPANY,COMMON STOCK,949746101,8258,157120,SH,,SOLE,,151700,0,5420,0001291422-14-000003
WELLS FARGO & COMPANY,COMMON STOCK,949746101,105,2002,SH,,OTR,,2002,0,0,0001291422-14-000003
WELLS FARGO & COMPANY,CORPORATE BONDS,949746JE2,273,250000,PRN,,SOLE,,250000,0,0,0001291422-14-000003
WELLS FARGO & COMPANY,CORPORATE BONDS,94974BFD7,308,300000,PRN,,SOLE,,300000,0,0,0001291422-14-000003
WELLS FARGO ADVANTAGE,MUTUAL FUNDS -,949917702,49791,10330056,SH,,SOLE,,10300694,0,29362,0001291422-14-000003
WELLS FARGO ADVANTAGE,MUTUAL FUNDS -,949917702,1245,258386,SH,,OTR,,258386,0,0,0001291422-14-000003
WELLS FARGO BANK WFC,CORPORATE BONDS,94980VAA6,257,250000,PRN,,SOLE,,250000,0,0,0001291422-14-000003
WELLS FARGO BANK WFC,CORPORATE BONDS,94980VAE8,545,500000,PRN,,SOLE,,500000,0,0,0001291422-14-000003
WESTLAKE CHEMICAL CORP,COMMON STOCK,960413102,335,3995,SH,,SOLE,,3995,0,0,0001291422-14-000003
WEYERHAEUSER COMPANY,COMMON STOCK,962166104,310,9380,SH,,SOLE,,9380,0,0,0001291422-14-000003
XILINX INC COM,COMMON STOCK,983919101,7615,160952,SH,,SOLE,,155732,0,5220,0001291422-14-000003
XILINX INC COM,COMMON STOCK,983919101,109,2295,SH,,OTR,,2295,0,0,0001291422-14-000003
ABBOTT,COMMON STOCK,002824100,483,11605,SH,,SOLE,,11605,0,0,0001291422-14-000004
ABBOTT,COMMON STOCK,002824100,268,6450,SH,,OTR,,6450,0,0,0001291422-14-000004
ABBVIE INC,COMMON STOCK,00287Y109,15504,268425,SH,,SOLE,,260245,0,8180,0001291422-14-000004
ABBVIE INC,COMMON STOCK,00287Y109,29,510,SH,,DFND,,510,0,0,0001291422-14-000004
ABBVIE INC,COMMON STOCK,00287Y109,512,8870,SH,,OTR,,8870,0,0,0001291422-14-000004
ACCENTURE PLC-CL A,COMMON STOCK,G1151C101,6176,75946,SH,,SOLE,,73156,0,2790,0001291422-14-000004
ACCENTURE PLC-CL A,COMMON STOCK,G1151C101,91,1114,SH,,OTR,,1114,0,0,0001291422-14-000004
ACTAVIS PLC,COMMON STOCK,G0083B108,288,1195,SH,,SOLE,,1195,0,0,0001291422-14-000004
ALAMO TX CMNTY CLG DIST,MUNICIPAL OBLIG,011420KW5,200,200000,PRN,,SOLE,,200000,0,0,0001291422-14-000004
ALLIANT TECHSYSTEMS INC,COMMON STOCK,018804104,301,2360,SH,,SOLE,,2360,0,0,0001291422-14-000004
ALMONT MICH CMNTY SCHS,MUNICIPAL OBLIG,020366EW6,300,300000,PRN,,SOLE,,300000,0,0,0001291422-14-000004
ALMONT MICH CMNTY SCHS,MUNICIPAL OBLIG,020366EX4,299,300000,PRN,,SOLE,,300000,0,0,0001291422-14-000004
AMERICAN BEACON,MUTUAL FUNDS -,02368A638,27055,1022894,SH,,SOLE,,977365,0,45529,0001291422-14-000004
AMERICAN BEACON,MUTUAL FUNDS -,02368A638,413,15602,SH,,OTR,,15602,0,0,0001291422-14-000004
AMERICAN FUNDS NEW WORLD FUND,MUTUAL FUNDS -,649280815,228,3868,SH,,SOLE,,3868,0,0,0001291422-14-000004
AMERICAN GROWTH FUND OF AMERICA,MUTUAL FUNDS -,399874817,240,5238,SH,,SOLE,,5238,0,0,0001291422-14-000004
AMERICAN INCOME FUND OF AMERICA,MUTUAL FUNDS -,453320103,420,19576,SH,,SOLE,,19576,0,0,0001291422-14-000004
AMERICAN INCOME FUND OF AMERICA,MUTUAL FUNDS -,453320814,503,23458,SH,,SOLE,,23458,0,0,0001291422-14-000004
AMERICAN NEW PERSPECTIVE FUND,MUTUAL FUNDS -,648018109,214,5621,SH,,SOLE,,5621,0,0,0001291422-14-000004
AMERICAN NEW PERSPECTIVE FUND,MUTUAL FUNDS -,648018810,257,6738,SH,,SOLE,,6738,0,0,0001291422-14-000004
AMERIPRISE FINANCIAL INC,COMMON STOCK,03076C106,363,2940,SH,,SOLE,,2940,0,0,0001291422-14-000004
AMGEN INC,COMMON STOCK,031162100,178,1268,SH,,SOLE,,1268,0,0,0001291422-14-000004
AMGEN INC,COMMON STOCK,031162100,123,875,SH,,OTR,,875,0,0,0001291422-14-000004
ANADARKO PETROLEUM CORPORATION,COMMON STOCK,032511107,5679,55982,SH,,SOLE,,53642,0,2340,0001291422-14-000004
ANADARKO PETROLEUM CORPORATION,COMMON STOCK,032511107,85,840,SH,,OTR,,840,0,0,0001291422-14-000004
AON CORPORATION,COMMON STOCK,G0408V102,307,3500,SH,,SOLE,,3500,0,0,0001291422-14-000004
APPLE INC.,COMMON STOCK,037833100,23834,236565,SH,,SOLE,,230559,0,6006,0001291422-14-000004
APPLE INC.,COMMON STOCK,037833100,293,2909,SH,,OTR,,2909,0,0,0001291422-14-000004
AT&T INC.,COMMON STOCK,00206R102,242,6863,SH,,SOLE,,6863,0,0,0001291422-14-000004
AT&T INC.,CORPORATE BONDS,00206RAV4,438,431000,PRN,,SOLE,,431000,0,0,0001291422-14-000004
ATHENS OH,MUNICIPAL OBLIG,047195HM7,200,200000,PRN,,SOLE,,200000,0,0,0001291422-14-000004
BAIRD,MUTUAL FUNDS -,057071409,38687,3988322,SH,,SOLE,,3972400,0,15922,0001291422-14-000004
BAIRD,MUTUAL FUNDS -,057071409,1287,132668,SH,,OTR,,132668,0,0,0001291422-14-000004
BANK OF HAWAII CORP,COMMON STOCK,062540109,2577,45354,SH,,SOLE,,42789,0,2565,0001291422-14-000004
BANK OF HAWAII CORP,COMMON STOCK,062540109,18,325,SH,,DFND,,325,0,0,0001291422-14-000004
BANK OF MONTREAL,COMMON STOCK,063671101,3760,51079,SH,,SOLE,,48934,0,2145,0001291422-14-000004
BANK OF MONTREAL,COMMON STOCK,063671101,21,285,SH,,DFND,,285,0,0,0001291422-14-000004
BANK OF MONTREAL MTN,CORPORATE BONDS,06366RJH9,501,500000,PRN,,SOLE,,500000,0,0,0001291422-14-000004
BANK OF NY MELLON,CORPORATE BONDS,06406HBM0,285,250000,PRN,,SOLE,,250000,0,0,0001291422-14-000004
BEAR STEARNS,CORPORATE BONDS,073902CD8,273,250000,PRN,,SOLE,,250000,0,0,0001291422-14-000004
BIOGEN IDEC INC,COMMON STOCK,09062X103,366,1105,SH,,SOLE,,1105,0,0,0001291422-14-000004
BMO,MUTUAL FUNDS -,09658L612,246,11662,SH,,SOLE,,11662,0,0,0001291422-14-000004
BOEING CO,COMMON STOCK,097023105,3420,26850,SH,,SOLE,,26850,0,0,0001291422-14-000004
BP CAPITAL PLC,CORPORATE BONDS,05565QBN7,257,250000,PRN,,SOLE,,250000,0,0,0001291422-14-000004
BP PLC SPONSORED ADR,COMMON STOCK,055622104,1228,27948,SH,,SOLE,,27948,0,0,0001291422-14-000004
BRISTOL MYERS SQUIBB CO COM,COMMON STOCK,110122108,1357,26512,SH,,SOLE,,26512,0,0,0001291422-14-000004
BROWN CAPITAL MGMT,MUTUAL FUNDS -,115291403,26898,384704,SH,,SOLE,,374847,0,9857,0001291422-14-000004
BROWN CAPITAL MGMT,MUTUAL FUNDS -,115291403,439,6278,SH,,OTR,,6278,0,0,0001291422-14-000004
BRUNSWICK CNTY N C,MUNICIPAL OBLIG,117061VE8,298,300000,PRN,,SOLE,,300000,0,0,0001291422-14-000004
CAN IMPERIAL BK OF COMMERCE,COMMON STOCK,136069101,2719,30262,SH,,SOLE,,28537,0,1725,0001291422-14-000004
CAN IMPERIAL BK OF COMMERCE,COMMON STOCK,136069101,20,225,SH,,DFND,,225,0,0,0001291422-14-000004
CASS CNTY ND,MUNICIPAL OBLIG,148037CK8,202,200000,PRN,,SOLE,,200000,0,0,0001291422-14-000004
CATERPILLAR FINANCIAL SRVCS CORP,CORPORATE BONDS,14912L5D9,287,285000,PRN,,SOLE,,285000,0,0,0001291422-14-000004
CATERPILLAR FINANCIAL SRVCS CORP,CORPORATE BONDS,14912L5H0,301,300000,PRN,,SOLE,,300000,0,0,0001291422-14-000004
CATERPILLAR INC DEL COM,COMMON STOCK,149123101,94,950,SH,,SOLE,,950,0,0,0001291422-14-000004
CATERPILLAR INC DEL COM,COMMON STOCK,149123101,114,1150,SH,,OTR,,1150,0,0,0001291422-14-000004
CEDAR GROVE - BELGIUM WI,MUNICIPAL OBLIG,150375EX7,210,210000,PRN,,SOLE,,210000,0,0,0001291422-14-000004
CEDAR GROVE - BELGIUM WI,MUNICIPAL OBLIG,150375EY5,200,200000,PRN,,SOLE,,200000,0,0,0001291422-14-000004
CELGENE CORP,COMMON STOCK,151020104,390,4120,SH,,SOLE,,4120,0,0,0001291422-14-000004
CHAGRIN FALLS OH,MUNICIPAL OBLIG,157447KR3,276,275000,PRN,,SOLE,,275000,0,0,0001291422-14-000004
CHEVRON TEXACO CORP,COMMON STOCK,166764100,3868,32419,SH,,SOLE,,29618,0,2801,0001291422-14-000004
CHEVRON TEXACO CORP,COMMON STOCK,166764100,20,170,SH,,DFND,,170,0,0,0001291422-14-000004
CHEVRON TEXACO CORP,COMMON STOCK,166764100,36,300,SH,,OTR,,300,0,0,0001291422-14-000004
CHIPPEWA FALLS WI,MUNICIPAL OBLIG,169772VS6,254,255000,PRN,,SOLE,,255000,0,0,0001291422-14-000004
CISCO SYS INC COM,COMMON STOCK,17275R102,3203,127258,SH,,SOLE,,120278,0,6980,0001291422-14-000004
CISCO SYS INC COM,COMMON STOCK,17275R102,25,1010,SH,,DFND,,1010,0,0,0001291422-14-000004
COLGATE PALMOLIVE CO COM,COMMON STOCK,194162103,59,908,SH,,SOLE,,908,0,0,0001291422-14-000004
COLGATE PALMOLIVE CO COM,COMMON STOCK,194162103,176,2700,SH,,OTR,,2700,0,0,0001291422-14-000004
COLORADO SPRINGS CO,MUNICIPAL OBLIG,196632MH3,532,500000,PRN,,SOLE,,500000,0,0,0001291422-14-000004
COLUMBUS OH,MUNICIPAL OBLIG,199492AD1,501,500000,PRN,,SOLE,,500000,0,0,0001291422-14-000004
CONOCOPHILLIPS,COMMON STOCK,20825C104,3489,45593,SH,,SOLE,,43478,0,2115,0001291422-14-000004
CONOCOPHILLIPS,COMMON STOCK,20825C104,24,310,SH,,DFND,,310,0,0,0001291422-14-000004
COSTCO WHSL CORP,CORPORATE BONDS,22160KAC9,331,300000,PRN,,SOLE,,300000,0,0,0001291422-14-000004
CREDIT SUISSE,MUTUAL FUNDS -,22544R107,69,10316,SH,,SOLE,,10316,0,0,0001291422-14-000004
CREDIT SUISSE NEW YORK,CORPORATE BONDS,22546QAE7,254,250000,PRN,,SOLE,,250000,0,0,0001291422-14-000004
CRYSTAL GRAPHITE CORPORATION,COMMON STOCK,229248109,0,300000,SH,,SOLE,,300000,0,0,0001291422-14-000004
CULLEN HIGH DIVIDEND EQUITY FUND,MUTUAL FUNDS -,230001406,243,13972,SH,,SOLE,,0,0,13972,0001291422-14-000004
CVS HEALTH CORP,COMMON STOCK,126650100,9694,121800,SH,,SOLE,,117270,0,4530,0001291422-14-000004
CVS HEALTH CORP,COMMON STOCK,126650100,150,1886,SH,,OTR,,1886,0,0,0001291422-14-000004
D R HORTON INC.,COMMON STOCK,23331A109,7578,369289,SH,,SOLE,,358489,0,10800,0001291422-14-000004
D R HORTON INC.,COMMON STOCK,23331A109,105,5122,SH,,OTR,,5122,0,0,0001291422-14-000004
DANA MOLDED PRODUCTS INC CLASS B,COMMON STOCK,239002991,0,87029,SH,,OTR,,87029,0,0,0001291422-14-000004
DE KALB CNTY IL,MUNICIPAL OBLIG,240559BQ6,312,300000,PRN,,SOLE,,300000,0,0,0001291422-14-000004
DES PERES MO,MUNICIPAL OBLIG,250199EM4,536,500000,PRN,,SOLE,,500000,0,0,0001291422-14-000004
DEUTSCHE BK LOND DB,CORPORATE BONDS,2515A0U76,254,250000,PRN,,SOLE,,250000,0,0,0001291422-14-000004
DEVON ENERGY CORPORATION,COMMON STOCK,25179M103,8805,129150,SH,,SOLE,,128600,0,550,0001291422-14-000004
DEVON ENERGY CORPORATION,COMMON STOCK,25179M103,129,1885,SH,,OTR,,1885,0,0,0001291422-14-000004
DISNEY,COMMON STOCK,254687106,10131,113790,SH,,SOLE,,111160,0,2630,0001291422-14-000004
